School,Division,Scholarship,Index,Sat75,Admissions
University of South Carolina,NCAA I,"22,165",10.71,650,0.65
Providence College,NCAA I,"22,353",26.06,,0.57
University of Kentucky,NCAA I,"22,374",6.085,630,0.89
Pennsylvania State University,NCAA I,"22,427",12.715,670,0.51
Arizona State University,NCAA I,"22,461",10.015,640,0.83
Purdue University,NCAA I,"22,724",11.42,700,0.59
University of Texas,NCAA I,"22,996",2.715,720,0.39
Boston University,NCAA I,"23,713",20.91,730,0.33
University of Utah,NCAA I,"23,836",10.895,660,0.81
Georgia Institute of Technology,NCAA I,"24,063",7.94,770,0.32
Fordham University,NCAA I,"24,226",23.58,680,0.48
University of Alabama,NCAA I,"24,285",8.98,610,0.54
University of Virginia,NCAA I,"24,887",7.51,740,0.3
University of Denver,NCAA I,"25,178",14.135,660,0.73
University of Arizona,NCAA I,"25,479",9.08,,0.76
University of Connecticut,NCAA I,"25,768",16.795,690,0.53
University of Michigan,NCAA I,"27,238",6.27,770,0.26
Stanford University,NCAA I,"27,653",2.65,800,0.50%
University of Tennessee,NCAA I,"27,756",9.85,630,0.76
University of Pittsburgh,NCAA I,"27,864",14.59,690,0.54
University of Southern California,NCAA I,"28,744",3.98,770,0.18
Boston College,NCAA I,"29,467",21.33,750,0.29
Duke University,NCAA I,"29,597",7.295,790,0.11
Louisiana State University,NCAA I,"32,146",10.565,640,0.77
University of Notre Dame,NCAA I,"32,342",3.645,770,0.2
Auburn University,NCAA I,"32,519",5.74,650,0.78
Texas Christian University,NCAA I,"38,438",11.18,650,0.43
Northwestern University,NCAA I,"43,454",7.935,800,0.13
Southern Methodist University,NCAA I,"45,685",13.125,720,0.49
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
, ,,22.81,,.
